0.00.036.296 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.036.582 W srv  llama_server: -----------------
0.00.036.583 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.036.583 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.036.583 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.036.583 W srv  llama_server: -----------------
0.00.037.819 I srv    load_model: loading model '/mnt/ssd2/models/qwen38-flash-next/Qwen3.8-Flash-Next-IQ4_XS-PLE.gguf'
0.28.262.833 I cmn          init: llama threadpool init, n_threads = 16
0.28.603.046 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 257024, kv_unified = 'false'
0.28.605.876 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.28.605.922 I srv  llama_server: model loaded
0.28.605.927 I srv  llama_server: listening on http://127.0.0.1:18080
0.30.336.635 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
10.15.725.775 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 174080, progress = 0.68, t = 585.39 s / 297.37 tokens per second
10.24.841.688 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 176128, progress = 0.69, t = 594.50 s / 296.26 tokens per second
10.33.871.314 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 178176, progress = 0.70, t = 603.53 s / 295.22 tokens per second
10.43.512.163 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 180224, progress = 0.70, t = 613.18 s / 293.92 tokens per second
10.52.987.686 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 182272, progress = 0.71, t = 622.65 s / 292.74 tokens per second
11.02.176.934 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 184320, progress = 0.72, t = 631.84 s / 291.72 tokens per second
11.11.279.254 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 186368, progress = 0.73, t = 640.94 s / 290.77 tokens per second
11.20.480.097 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 188416, progress = 0.74, t = 650.14 s / 289.81 tokens per second
11.29.821.098 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 190464, progress = 0.74, t = 659.48 s / 288.81 tokens per second
11.39.611.905 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 192512, progress = 0.75, t = 669.28 s / 287.64 tokens per second
11.49.983.756 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 194560, progress = 0.76, t = 679.65 s / 286.27 tokens per second
11.59.973.237 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 196608, progress = 0.77, t = 689.64 s / 285.09 tokens per second
12.09.966.273 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 198656, progress = 0.78, t = 699.63 s / 283.94 tokens per second
12.19.610.997 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 200704, progress = 0.78, t = 709.27 s / 282.97 tokens per second
12.29.993.859 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 202752, progress = 0.79, t = 719.66 s / 281.73 tokens per second
12.39.885.885 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 204800, progress = 0.80, t = 729.55 s / 280.72 tokens per second
12.50.005.280 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 206848, progress = 0.81, t = 739.67 s / 279.65 tokens per second
12.59.650.202 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 208896, progress = 0.82, t = 749.31 s / 278.78 tokens per second
13.09.568.812 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 210944, progress = 0.82, t = 759.23 s / 277.84 tokens per second
13.19.298.141 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 212992, progress = 0.83, t = 768.96 s / 276.99 tokens per second
13.29.686.336 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 215040, progress = 0.84, t = 779.35 s / 275.92 tokens per second
13.40.486.513 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 217088, progress = 0.85, t = 790.15 s / 274.74 tokens per second
13.51.565.471 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 219136, progress = 0.86, t = 801.23 s / 273.50 tokens per second
14.01.978.803 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 221184, progress = 0.86, t = 811.64 s / 272.51 tokens per second
14.11.930.741 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 223232, progress = 0.87, t = 821.59 s / 271.71 tokens per second
14.22.080.031 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 225280, progress = 0.88, t = 831.74 s / 270.85 tokens per second
14.32.150.513 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 227328, progress = 0.89, t = 841.81 s / 270.05 tokens per second
14.42.608.494 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 229376, progress = 0.90, t = 852.27 s / 269.13 tokens per second
14.52.949.195 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 231424, progress = 0.90, t = 862.61 s / 268.28 tokens per second
15.03.438.252 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 233472, progress = 0.91, t = 873.10 s / 267.41 tokens per second
15.13.719.545 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 235520, progress = 0.92, t = 883.38 s / 266.61 tokens per second
15.24.148.522 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 237568, progress = 0.93, t = 893.81 s / 265.79 tokens per second
15.34.781.778 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 239616, progress = 0.94, t = 904.44 s / 264.93 tokens per second
15.46.153.191 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 241664, progress = 0.95, t = 915.82 s / 263.88 tokens per second
15.56.794.251 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 243712, progress = 0.95, t = 926.46 s / 263.06 tokens per second
16.07.326.806 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 245760, progress = 0.96, t = 936.99 s / 262.29 tokens per second
16.17.882.128 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 247808, progress = 0.97, t = 947.55 s / 261.53 tokens per second
16.28.354.755 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 249856, progress = 0.98, t = 958.02 s / 260.81 tokens per second
16.39.084.701 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 251904, progress = 0.99, t = 968.75 s / 260.03 tokens per second
16.50.898.484 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 253952, progress = 0.99, t = 980.56 s / 258.99 tokens per second
16.59.638.614 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 255202, progress = 1.00, t = 989.30 s / 257.96 tokens per second
17.02.311.809 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 255714, progress = 1.00, t = 991.97 s / 257.78 tokens per second
17.04.802.756 I slot print_timing: id  0 | task 0 | prompt eval time =  994465.90 ms / 255718 tokens (    3.89 ms per token,   257.14 tokens per second)
